Source,Target,Name
QDi.366,QDe.115,TARKHAN ISMAILOVICH GAZIEV
QDi.431,QDe.161,SANAULLAH GHAFARI 
QDi.250,QDe.014,AMOR MOHAMED GHEDEIR
TAi.004,TAi.109,MOHAMMED OMAR GHULAM NABI
QDi.367,QDe.148,ZAURBEK SALIMOVICH GUCHAEV
QDi.341,QDe.137,KEVIN JORDAN AXEL
QDi.341,QDe.115,KEVIN JORDAN AXEL
QDi.218,QDi.087,GUN GUN RUSMAN GUNAWAN
QDi.204,QDe.001,ISNILON TOTONI HAPILON
QDi.204,QDe.115,ISNILON TOTONI HAPILON
QDi.268,QDe.088,ABDUL HAQ 
TAi.040,TAi.144,JALALUDDIN HAQQANI 
TAi.040,TAi.146,JALALUDDIN HAQQANI 
TAi.040,TAi.042,JALALUDDIN HAQQANI 
TAi.040,TAi.150,JALALUDDIN HAQQANI 
TAi.150,TAe.012,KHALIL AHMED HAQQANI
TAi.150,TAi.040,KHALIL AHMED HAQQANI
TAi.150,TAi.144,KHALIL AHMED HAQQANI
TAi.079,TAi.064,MOHAMMAD SALIM HAQQANI 
TAi.146,TAe.012,NASIRUDDIN HAQQANI 
TAi.146,TAi.040,NASIRUDDIN HAQQANI 
TAi.006,TAi.004,SAYYED MOHAMMED HAQQANI 
TAi.144,TAe.012,SIRAJUDDIN JALLALOUDINE HAQQANI
TAi.144,TAi.040,SIRAJUDDIN JALLALOUDINE HAQQANI
TAi.169,TAe.012,YAHYA HAQQANI 
QDi.378,QDe.115,MAXIME HAUCHARD 
QDi.029,QDe.115,RAED MUHAMMAD HASAN MUHAMMAD
QDi.359,QDe.115,OMAR ALI HUSSAIN
QDi.395,QDe.133,MUHAMMAD SHOLEH IBRAHIM
QDi.395,QDe.115,MUHAMMAD SHOLEH IBRAHIM
QDi.374,QDe.137,NUSRET IMAMOVIC 
QDi.308,QDe.118,ZAFAR IQBAL 
QDi.087,QDe.092,NURJAMAN RIDUAN ISAMUDDIN
QDi.087,QDi.218,NURJAMAN RIDUAN ISAMUDDIN
TAi.147,TAi.004,GUL AGHA ISHAKZAI
QDi.368,QDe.137,SHAMIL MAGOMEDOVICH ISMAILOV
LYi.029,LYi.025,Osama Al Kuni Ibrahim
LYi.029,LYi.026,Osama Al Kuni Ibrahim
QDi.360,QDe.115,SALLY-ANNE FRANCES JONES
QDi.394,QDe.115,HUSAYN JUAYTHINI 
QDi.394,QDi.299,HUSAYN JUAYTHINI 
QDi.416,QDe.115,MOHAMMED YUSIP KARIM
QDi.372,QDe.115,GULMUROD KHALIMOV 
QDi.306,QDe.004,MUSTAFA HAJJI MUHAMMAD
QDi.336,QDe.137,ANAS HASAN KHATTAB
TAi.163,TAe.010,KHAIRULLAH BARAKZAI KHUDAI NAZAR
TAi.163,TAi.162,KHAIRULLAH BARAKZAI KHUDAI NAZAR
TAi.165,TAe.013,MOHAMMED QASIM MIR WALI KHUDAI RAHIM
TAi.165,TAe.013,MOHAMMED QASIM MIR WALI KHUDAI RAHIM
QDi.418,QDe.115,MUHAMMED REZA LAHAMAN
QDi.340,QDe.115,EMILIE EDWIGE KONIG
QDi.340,QDe.004,EMILIE EDWIGE KONIG
CFi.010,CFe.002,ALI KONY 
CFi.010,CFi.009,ALI KONY 
CFi.009,CFe.002,JOSEPH KONY 
CFi.011,CFe.002,SALIM KONY 
CFi.011,CFi.009,SALIM KONY 
QDi.408,QDe.115,ALEXANDA AMON KOTEY
QDi.425,QDe.159,AMADOU KOUFA 
QDi.425,QDe.014,AMADOU KOUFA 
QDi.383,QDe.115,MORAD LAABOUDI 
QDi.319,QDe.134,MOHAMED LAHBOUS 
TAi.053,TAi.004,ABDUL RAZAQ AKHUND LALA AKHUND
QDi.247,QDe.128,"RUBEN PESTANO LAVILLA, JR"
QDi.413,QDe.115,MYRNA AJIJUL MABANZA
QDi.356,QDe.115,AQSA MAHMOOD 
MLi.007,QDe.134,MOHAMED BEN AHMED
QDi.423,QDe.014,ALI MAYCHOU 
